Championship Match?,"Champion? (-1 if W2, 0 if neither, 1 if W1)",Card Order,Normal Match Type?,Month,Year,W1-W2 Age,W1-W2 PPV Matches,W1-W2 PPV Wins,W1-W2 PPV Wins %,W1-W2 PPV DQ Wins,W1-W2 PPV DQ % of Wins,W1-W2 PPV Pin Wins,W1-W2 PPV Pin % of Wins,W1-W2 PPV Sub Wins,W1-W2 PPV Sub % of Wins,W1-W2 PPV Losses,W1-W2 PPV DQ Losses,W1-W2 PPV DQ % of Losses,W1-W2 PPV Pin Losses,W1-W2 PPV Pin % of Losses,W1-W2 PPV Sub Losses,W1-W2 PPV Sub % of Losses,W1-W2 PPV Draws,W1-W2 PPV Streak,W1-W2 PPV Championship Wins,W1-W2 PPV Championship Losses,W1-W2 PPV Championship Defense Wins,W1-W2 PPV Championship Defense Losses,W1-W2 PPV Championship Challenge Wins,W1-W2 PPV Championship Challenge Losses,W1-W2 Last PPV Match,W1-W2 H2H PPV Matches,W1-W2 H2H PPV Wins,W1-W2 H2H PPV Wins %,W1-W2 H2H PPV DQ Wins,W1-W2 H2H PPV DQ % of Wins,W1-W2 H2H PPV Pin Wins,W1-W2 H2H PPV Pin % of Wins,W1-W2 H2H PPV Sub Wins,W1-W2 H2H PPV Sub % of Wins,W1-W2 H2H PPV Losses,W1-W2 H2H PPV DQ Losses,W1-W2 H2H PPV DQ % of Losses,W1-W2 H2H PPV Pin Losses,W1-W2 H2H PPV Pin % of Losses,W1-W2 H2H PPV Sub Losses,W1-W2 H2H PPV Sub % of Losses,W1-W2 H2H PPV Draws,W1-W2 H2H PPV Streak,W1-W2 H2H PPV Championship Wins,W1-W2 H2H PPV Championship Losses,W1-W2 H2H PPV Championship Defense Wins,W1-W2 H2H PPV Championship Defense Losses,W1-W2 H2H PPV Championship Challenge Wins,W1-W2 H2H PPV Championship Challenge Losses,W1-W2 H2H Last PPV Match,W1-W2 PWI Ranking,W1-W2 PWI Change,W1 Winner?
1,0,2,0,4,1986,15.594520547945205,-4,-3,-0.25,0,0.0,-3,-1.0,0,0.0,-1,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,-500169600.0,-4,-3,-0.25,0,0.0,-3,-1.0,0,0.0,-1,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,-500169600.0,0,0,-1
0,0,3,0,4,1986,-7.586301369863014,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1
0,0,3,0,4,1986,7.586301369863014,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1
0,0,4,1,4,1986,1.906849315068493,-1,0,0.5,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,0,-1,0,0,0,-1,-500169600.0,-1,0,0.5,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,0,-1,0,0,0,-1,-500169600.0,0,0,1
0,0,4,1,4,1986,-1.906849315068493,1,0,-0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,1,0,0,0,1,500169600.0,1,0,-0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,1,0,0,0,1,500169600.0,0,0,-1
1,1,1,0,4,1986,39.36986301369863,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1
1,0,1,0,4,1986,-39.36986301369863,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1
0,0,2,1,4,1986,-9.906849315068493,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1
0,0,2,1,4,1986,9.906849315068493,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1
0,0,1,0,4,1986,4.189041095890411,3,2,0.16666666666666663,0,0.0,1,0.5,0,0.0,1,0,0.0,1,0.5,0,0.0,0,-1,0,0,0,0,0,0,500169600.0,3,2,0.16666666666666663,0,0.0,1,0.5,0,0.0,1,0,0.0,1,0.5,0,0.0,0,-1,0,0,0,0,0,0,500169600.0,0,0,1
0,0,1,0,4,1986,-4.189041095890411,-3,-2,-0.16666666666666663,0,0.0,-1,-0.5,0,0.0,-1,0,0.0,-1,-0.5,0,0.0,0,1,0,0,0,0,0,0,-500169600.0,-3,-2,-0.16666666666666663,0,0.0,-1,-0.5,0,0.0,-1,0,0.0,-1,-0.5,0,0.0,0,1,0,0,0,0,0,0,-500169600.0,0,0,-1
0,0,2,0,4,1986,-17.09315068493151,2,1,0.0,0,0.0,1,1.0,0,0.0,1,0,0.0,1,1.0,0,0.0,0,-1,0,0,0,0,0,0,500169600.0,2,1,0.0,0,0.0,1,1.0,0,0.0,1,0,0.0,1,1.0,0,0.0,0,-1,0,0,0,0,0,0,500169600.0,0,0,1
0,0,2,0,4,1986,17.09315068493151,-2,-1,0.0,0,0.0,-1,-1.0,0,0.0,-1,0,0.0,-1,-1.0,0,0.0,0,1,0,0,0,0,0,0,-500169600.0,-2,-1,0.0,0,0.0,-1,-1.0,0,0.0,-1,0,0.0,-1,-1.0,0,0.0,0,1,0,0,0,0,0,0,-500169600.0,0,0,-1
1,1,4,1,4,1986,4.243835616438356,1,1,0.5,1,1.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,1,1,0,1,0,0,0,500169600.0,1,1,0.5,1,1.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,1,1,0,1,0,0,0,500169600.0,0,0,1
